:START_ID,:END_ID,relation,:TYPE
2028,3129,cooperate,cooperate
2028,3011,cooperate,cooperate
2035,3140,cooperate,cooperate
2035,3057,cooperate,cooperate
2071,3038,cooperate,cooperate
2071,3031,cooperate,cooperate
2000,3035,cooperate,cooperate
2000,3119,cooperate,cooperate
2012,3080,cooperate,cooperate
2012,3134,cooperate,cooperate
2068,3116,cooperate,cooperate
2068,3059,cooperate,cooperate
2013,3071,cooperate,cooperate
2013,3019,cooperate,cooperate
2035,3137,cooperate,cooperate
2035,3029,cooperate,cooperate
2059,3070,cooperate,cooperate
2059,3112,cooperate,cooperate
2060,3022,cooperate,cooperate
2060,3048,cooperate,cooperate
2028,3129,cooperate,cooperate
2028,3011,cooperate,cooperate
2035,3140,cooperate,cooperate
2035,3057,cooperate,cooperate
2071,3038,cooperate,cooperate
2071,3031,cooperate,cooperate
2000,3035,cooperate,cooperate
2000,3119,cooperate,cooperate
2012,3080,cooperate,cooperate
2012,3134,cooperate,cooperate
2068,3116,cooperate,cooperate
2068,3059,cooperate,cooperate
2013,3071,cooperate,cooperate
2013,3019,cooperate,cooperate
2035,3137,cooperate,cooperate
2035,3029,cooperate,cooperate
2059,3070,cooperate,cooperate
2059,3112,cooperate,cooperate
2060,3022,cooperate,cooperate
2060,3048,cooperate,cooperate
2057,3047,cooperate,cooperate
2057,3111,cooperate,cooperate
2025,3030,cooperate,cooperate
2025,3065,cooperate,cooperate
2055,3042,cooperate,cooperate
2055,3151,cooperate,cooperate
2036,3041,cooperate,cooperate
2036,3094,cooperate,cooperate
2063,3087,cooperate,cooperate
2063,3117,cooperate,cooperate
2029,3140,cooperate,cooperate
2029,3157,cooperate,cooperate
2026,3003,cooperate,cooperate
2026,3100,cooperate,cooperate
2031,3154,cooperate,cooperate
2031,3007,cooperate,cooperate
2060,3048,cooperate,cooperate
2060,3154,cooperate,cooperate
2062,3113,cooperate,cooperate
2062,3142,cooperate,cooperate
2008,3063,cooperate,cooperate
2008,3046,cooperate,cooperate
2029,3103,cooperate,cooperate
2029,3104,cooperate,cooperate
2057,3097,cooperate,cooperate
2057,3093,cooperate,cooperate
2041,3012,cooperate,cooperate
2041,3138,cooperate,cooperate
2035,3015,cooperate,cooperate
2035,3040,cooperate,cooperate
2035,3137,cooperate,cooperate
2035,3146,cooperate,cooperate
2014,3058,cooperate,cooperate
2014,3018,cooperate,cooperate
2042,3052,cooperate,cooperate
2042,3164,cooperate,cooperate
2067,3076,cooperate,cooperate
2067,3028,cooperate,cooperate
2022,3020,cooperate,cooperate
2022,3160,cooperate,cooperate
2051,3136,cooperate,cooperate
2051,3000,cooperate,cooperate
2054,3099,cooperate,cooperate
2054,3161,cooperate,cooperate
2054,3014,cooperate,cooperate
2074,3008,cooperate,cooperate
