:START_ID,:END_ID,relation,:TYPE
2028,1000,指导,directed
2035,1001,指导,directed
2071,1002,指导,directed
2000,1003,指导,directed
2012,1004,指导,directed
2068,1005,指导,directed
2013,1006,指导,directed
2035,1007,指导,directed
2059,1008,指导,directed
2060,1009,指导,directed
2028,1000,指导,directed
2035,1001,指导,directed
2071,1002,指导,directed
2000,1003,指导,directed
2012,1004,指导,directed
2068,1005,指导,directed
2013,1006,指导,directed
2035,1007,指导,directed
2059,1008,指导,directed
2060,1009,指导,directed
2057,1010,指导,directed
2025,1011,指导,directed
2055,1012,指导,directed
2036,1013,指导,directed
2063,1014,指导,directed
2029,1015,指导,directed
2026,1016,指导,directed
2031,1017,指导,directed
2060,1018,指导,directed
2062,1019,指导,directed
2008,1020,指导,directed
2029,1021,指导,directed
2057,1022,指导,directed
2041,1023,指导,directed
2035,1024,指导,directed
2035,1025,指导,directed
2014,1026,指导,directed
2042,1027,指导,directed
2067,1028,指导,directed
2022,1029,指导,directed
2051,1030,指导,directed
2054,1031,指导,directed
2074,1032,指导,directed
2058,1033,指导,directed
2037,1034,指导,directed
2043,1035,指导,directed
2063,1036,指导,directed
2019,1037,指导,directed
2063,1038,指导,directed
2032,1039,指导,directed
2034,1040,指导,directed
2075,1041,指导,directed
2009,1042,指导,directed
2050,1043,指导,directed
2070,1044,指导,directed
2003,1045,指导,directed
2044,1046,指导,directed
2058,1047,指导,directed
2045,1048,指导,directed
2055,1049,指导,directed
2065,1050,指导,directed
2072,1051,指导,directed
2020,1052,指导,directed
2039,1053,指导,directed
2018,1054,指导,directed
2015,1055,指导,directed
2016,1056,指导,directed
2007,1057,指导,directed
2052,1058,指导,directed
2063,1059,指导,directed
2010,1060,指导,directed
2011,1061,指导,directed
2021,1062,指导,directed
2061,1063,指导,directed
2023,1064,指导,directed
2008,1065,指导,directed
2001,1066,指导,directed
2024,1067,指导,directed
2038,1068,指导,directed
2033,1069,指导,directed
2034,1070,指导,directed
2073,1071,指导,directed
2046,1072,指导,directed
2002,1073,指导,directed
2026,1074,指导,directed
2026,1075,指导,directed
2047,1076,指导,directed
2048,1077,指导,directed
2016,1078,指导,directed
2004,1079,指导,directed
2011,1080,指导,directed
2053,1081,指导,directed
2002,1082,指导,directed
2005,1083,指导,directed
2069,1084,指导,directed
2027,1085,指导,directed
2045,1086,指导,directed
2021,1087,指导,directed
2064,1088,指导,directed
2066,1089,指导,directed
2034,1090,指导,directed
2017,1091,指导,directed
2030,1092,指导,directed
2056,1093,指导,directed
2006,1094,指导,directed
2028,1095,指导,directed
2013,1096,指导,directed
2040,1097,指导,directed
2049,1098,指导,directed
2049,1099,指导,directed
